model_id,downloads,likes,pipeline_tag,task_name,library_name,frameworks,license,arxiv,param_count,size_category,created_at,last_modified
HuggingFaceTB/SmolLM2-135M-Instruct,2286074,374,text-generation,Text Generation,transformers,"onnx, safetensors, text-generation-inference, transformers",apache-2.0,2502.02737,134515008,100M-1B,2024-10-31T13:41:10.000Z,2025-09-22T20:43:15.000Z
zai-org/GLM-4.7-Flash,2284141,1788,text-generation,Text Generation,transformers,"safetensors, transformers",mit,2508.06471,31221488576,20B-50B,2026-01-19T06:28:10.000Z,2026-01-29T08:06:19.000Z
Qwen/Qwen2.5-14B-Instruct-AWQ,2271386,37,text-generation,Text Generation,transformers,"safetensors, text-generation-inference, transformers",apache-2.0,2309.00071,14770033664,10B-20B,2024-09-17T13:55:22.000Z,2024-10-09T12:26:42.000Z
Qwen/Qwen3-14B-AWQ,2239749,71,text-generation,Text Generation,transformers,"safetensors, text-generation-inference, transformers",apache-2.0,2309.00071,14768307200,10B-20B,2025-05-01T10:46:38.000Z,2025-05-21T06:21:57.000Z
Qwen/Qwen2.5-Coder-32B-Instruct-AWQ,2060627,37,text-generation,Text Generation,transformers,"safetensors, text-generation-inference, transformers",apache-2.0,2409.12186,32763876352,20B-50B,2024-11-09T12:45:09.000Z,2024-11-18T12:55:21.000Z
meta-llama/Llama-3.2-3B-Instruct,2035147,2361,text-generation,Text Generation,transformers,"pytorch, safetensors, text-generation-inference, transformers",llama3.2,2204.05149,3212749824,1B-5B,2024-09-18T15:19:20.000Z,2024-10-24T15:07:29.000Z
deepreinforce-ai/Ornith-1.0-35B-GGUF,1961336,939,text-generation,Text Generation,transformers,"gguf, transformers",mit,,,Unknown,2026-06-25T04:56:44.000Z,2026-07-18T03:15:03.000Z
farbodtavakkoli/OTel-LLM-8B-A1B-IT,1956507,0,text-generation,Text Generation,,pytorch,apache-2.0,,,Unknown,2026-06-17T18:28:34.000Z,2026-06-23T11:58:51.000Z
Qwen/Qwen3-32B-AWQ,1943992,136,text-generation,Text Generation,transformers,"safetensors, text-generation-inference, transformers",apache-2.0,2309.00071,32762123264,20B-50B,2025-05-01T10:38:33.000Z,2025-05-21T06:17:51.000Z
Qwen/Qwen2.5-Coder-7B-Instruct,1884608,760,text-generation,Text Generation,transformers,"safetensors, text-generation-inference, transformers",apache-2.0,2409.12186,7615616512,5B-10B,2024-09-17T13:38:49.000Z,2025-01-12T02:03:41.000Z
Qwen/Qwen3-0.6B-FP8,1882938,62,text-generation,Text Generation,transformers,"safetensors, text-generation-inference, transformers",apache-2.0,2505.09388,751659264,100M-1B,2025-04-28T12:26:36.000Z,2025-07-26T03:45:47.000Z
Qwen/Qwen3-30B-A3B-Instruct-2507,1872745,820,text-generation,Text Generation,transformers,"safetensors, transformers",apache-2.0,2402.17463,30532122624,20B-50B,2025-07-28T07:31:27.000Z,2025-09-17T06:56:43.000Z
Qwen/Qwen2.5-0.5B,1851766,430,text-generation,Text Generation,transformers,"safetensors, text-generation-inference, transformers",apache-2.0,2407.10671,494032768,100M-1B,2024-09-15T12:15:39.000Z,2024-09-25T12:32:36.000Z
meta-llama/Llama-3.2-1B,1840912,2500,text-generation,Text Generation,transformers,"pytorch, safetensors, text-generation-inference, transformers",llama3.2,2204.05149,1235814400,1B-5B,2024-09-18T15:03:14.000Z,2024-10-24T15:08:03.000Z
ibm-research/PowerMoE-3b,1812518,22,text-generation,Text Generation,transformers,"safetensors, transformers",apache-2.0,2408.13359,3374286336,1B-5B,2024-08-14T18:44:21.000Z,2024-09-24T22:04:31.000Z
RedHatAI/Llama-3.2-1B-Instruct-FP8-dynamic,1746190,4,text-generation,Text Generation,,safetensors,llama3.2,,1498859520,1B-5B,2024-09-25T19:49:29.000Z,2024-10-09T18:57:13.000Z
nvidia/diffusiongemma-26B-A4B-it-NVFP4,1742987,108,text-generation,Text Generation,,safetensors,apache-2.0,,14404786224,10B-20B,2026-06-10T16:00:45.000Z,2026-07-04T17:57:49.000Z
HuggingFaceTB/SmolLM2-135M,1667330,217,text-generation,Text Generation,transformers,"safetensors, text-generation-inference, transformers",apache-2.0,2502.02737,134515008,100M-1B,2024-10-31T00:46:04.000Z,2025-02-06T10:34:41.000Z
