model_id,downloads,likes,pipeline_tag,task_name,library_name,frameworks,license,arxiv,param_count,size_category,created_at,last_modified
timm/convnextv2_base.fcmae_ft_in22k_in1k,64595,3,image-classification,Image Classification,timm,"pytorch, safetensors, timm, transformers",cc-by-nc-4.0,2301.00808,88717800,<100M,2023-01-05T01:38:33.000Z,2025-01-21T21:15:32.000Z
timm/tf_mobilenetv3_small_minimal_100.in1k,64482,0,image-classification,Image Classification,timm,"pytorch, safetensors, timm, transformers",apache-2.0,1905.02244,2056848,<100M,2022-12-16T05:39:34.000Z,2025-01-21T18:21:31.000Z
timm/tf_efficientnet_b3.ns_jft_in1k,61079,2,image-classification,Image Classification,timm,"pytorch, safetensors, timm, transformers",apache-2.0,1905.11946,12320528,<100M,2022-12-13T00:02:55.000Z,2025-01-21T18:18:43.000Z
timm/resnest50d.in1k,61014,0,image-classification,Image Classification,timm,"pytorch, safetensors, timm, transformers",apache-2.0,2004.08955,27547816,<100M,2023-04-23T23:35:20.000Z,2025-01-21T18:05:35.000Z
timm/convnext_tiny.fb_in22k,60843,6,image-classification,Image Classification,timm,"pytorch, safetensors, timm, transformers",apache-2.0,2201.03545,44615857,<100M,2022-12-13T07:14:47.000Z,2025-01-21T21:14:50.000Z
timm/vit_base_patch16_224.augreg_in21k,59557,11,image-classification,Image Classification,timm,"pytorch, safetensors, timm, transformers",apache-2.0,2106.10270,102595923,100M-1B,2022-12-22T07:25:23.000Z,2025-01-21T19:14:36.000Z
timm/levit_256.fb_dist_in1k,58593,2,image-classification,Image Classification,timm,"pytorch, safetensors, timm, transformers",apache-2.0,2104.01136,18967028,<100M,2023-02-03T21:13:37.000Z,2025-07-29T15:27:52.000Z
google/mobilenet_v2_1.0_224,58472,45,image-classification,Image Classification,transformers,"pytorch, safetensors, transformers",other,1801.04381,3540265,<100M,2022-11-10T16:04:32.000Z,2023-10-31T13:40:16.000Z
timm/eva02_base_patch14_448.mim_in22k_ft_in22k_in1k,57668,9,image-classification,Image Classification,timm,"pytorch, safetensors, timm, transformers",mit,2303.11331,87117544,<100M,2023-03-31T04:17:36.000Z,2025-01-21T21:36:59.000Z
facebook/convnextv2-tiny-22k-384,56965,5,image-classification,Image Classification,transformers,"pytorch, safetensors, transformers",apache-2.0,2301.00808,28635496,<100M,2023-02-19T07:24:50.000Z,2025-02-17T18:43:21.000Z
microsoft/resnet-18,54412,79,image-classification,Image Classification,transformers,"pytorch, safetensors, transformers",apache-2.0,1512.03385,11699112,<100M,2022-03-16T15:40:26.000Z,2024-04-08T11:06:50.000Z
timm/maxvit_nano_rw_256.sw_in1k,54333,0,image-classification,Image Classification,timm,"pytorch, safetensors, timm, transformers",apache-2.0,2204.01697,15471948,<100M,2023-01-20T21:31:48.000Z,2025-01-21T19:19:04.000Z
timm/convnext_tiny.in12k,53860,0,image-classification,Image Classification,timm,"pytorch, safetensors, timm, transformers",apache-2.0,2201.03545,36910477,<100M,2023-01-11T22:35:12.000Z,2025-01-21T21:16:21.000Z
timm/convnextv2_pico.fcmae_ft_in1k,52578,1,image-classification,Image Classification,timm,"pytorch, safetensors, timm, transformers",cc-by-nc-4.0,2301.00808,9066280,<100M,2023-01-05T01:56:09.000Z,2025-01-21T21:16:10.000Z
timm/regnetx_002.pycls_in1k,52070,0,image-classification,Image Classification,timm,"pytorch, safetensors, timm, transformers",mit,2003.13678,2705640,<100M,2023-03-21T06:30:59.000Z,2025-01-21T21:20:04.000Z
timm/mobilevit_s.cvnets_in1k,51625,6,image-classification,Image Classification,timm,"pytorch, safetensors, timm, transformers",other,2110.02178,5590888,<100M,2023-04-24T22:23:00.000Z,2025-01-21T18:14:29.000Z
timm/tf_efficientnet_b4.ns_jft_in1k,51201,0,image-classification,Image Classification,timm,"pytorch, safetensors, timm, transformers",apache-2.0,1905.11946,19466816,<100M,2022-12-13T00:03:44.000Z,2025-01-21T18:18:52.000Z
